batteryLevel,localTime,modelName,onWrist,hasRecentHeartRate,prediction,predictionScore,timestamp,deviceID,userID,version
77,7/22/25 16:53,Yeti,TRUE,,0,0.12823468,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
77,7/22/25 16:54,Yeti,TRUE,,0,0.08313366,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
76,7/22/25 16:55,Yeti,TRUE,,0,0.38662517,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
76,7/22/25 16:56,Yeti,TRUE,,1,0.75959647,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
76,7/22/25 16:57,Yeti,TRUE,,1,0.86894417,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
76,7/22/25 16:58,Yeti,TRUE,,0,0.454727,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
76,7/22/25 16:59,Yeti,TRUE,,0,0.07194373,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
76,7/22/25 17:00,Yeti,TRUE,,1,0.8865801,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
76,7/22/25 17:01,Yeti,TRUE,,0,0.10430929,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
76,7/22/25 17:02,Yeti,TRUE,,0,0.16028921,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
76,7/22/25 17:03,Yeti,TRUE,,0,0.1580603,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
76,7/22/25 17:04,Yeti,TRUE,,1,0.847208,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
75,7/22/25 17:05,Yeti,TRUE,,0,0.06205672,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
75,7/22/25 17:06,Yeti,TRUE,,0,0.4279289,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
75,7/22/25 17:07,Yeti,TRUE,,0,0.14907216,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
75,7/22/25 17:08,Yeti,TRUE,,1,0.5090499,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
75,7/22/25 17:09,Yeti,TRUE,,0,0.45642233,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
75,7/22/25 17:10,Yeti,TRUE,,0,0.21777801,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
